category,broker,loss,goal,corr,daily_corr,stockly_corr,TP,total_positive,total_truth,mse,precision@0.01,precision_daily@0.01,precision@0.05,precision_daily@0.05,precision@0.1,precision_daily@0.1,baseline_precision
AllTSE,1,mse,max_price,0.2226,0.2194,0.0878,38,162,343,0.0171,0.1944,0.1491,0.1505,0.1383,0.1212,0.1181,0.0449
AllTSE,1,ccc,max_price,0.2078,0.1934,0.1088,68,320,343,0.0227,0.2288,0.2113,0.1746,0.1552,0.1381,0.131,0.0449
AllTSE,0,ccc,max_price,0.2135,0.1983,0.1101,70,336,343,0.023,0.2365,0.2047,0.1757,0.1569,0.1388,0.1312,0.0449
AllTSE,0,mse,max_price,0.2276,0.2203,0.0951,31,128,343,0.017,0.2115,0.1514,0.1559,0.1394,0.1231,0.1175,0.0449
Selected,1,mse,max_price,0.257,0.252,0.1209,15,54,126,0.0202,0.2605,0.2122,0.2142,0.2044,0.183,0.1729,0.0661
Selected,1,ccc,max_price,0.2453,0.2221,0.1282,25,82,126,0.0238,0.3164,0.2787,0.2461,0.2211,0.2006,0.1856,0.0661
Selected,0,mse,max_price,0.222,0.2283,0.1053,14,52,126,0.0215,0.2255,0.1881,0.1941,0.1743,0.1634,0.1634,0.0661
Selected,0,ccc,max_price,0.2311,0.2266,0.1205,23,93,126,0.0241,0.2914,0.2901,0.2353,0.2202,0.1889,0.1838,0.0661
SelectedVer2,0,ccc,max_price,0.1963,0.182,0.0977,7,48,72,0.0177,0.1858,0.1743,0.1507,0.1475,0.12,0.1193,0.0439
SelectedVer2,1,ccc,max_price,0.2041,0.1955,0.0911,9,55,72,0.018,0.1727,0.1686,0.1494,0.1484,0.1239,0.1247,0.0439
SelectedVer2,0,mse,max_price,0.2063,0.2275,0.0745,6,25,72,0.0153,0.1443,0.1628,0.1186,0.1424,0.1046,0.1163,0.0439
SelectedVer2,1,mse,max_price,0.222,0.2324,0.0929,5,41,72,0.0155,0.1705,0.1525,0.1348,0.1346,0.1131,0.1171,0.0439
Top100,0,ccc,max_price,0.2438,0.1973,0.0966,7,29,52,0.0168,0.2084,0.1697,0.1645,0.1479,0.129,0.1154,0.0405
Top100,1,ccc,max_price,0.2782,0.2273,0.0981,6,30,52,0.016,0.249,0.1766,0.1877,0.1542,0.1297,0.1183,0.0405
Top100,1,mse,max_price,0.2934,0.2757,0.0885,4,20,52,0.0142,0.2084,0.1904,0.1978,0.1637,0.1471,0.132,0.0405
Top100,0,mse,max_price,0.2742,0.2727,0.0878,4,19,52,0.0141,0.186,0.18,0.1855,0.1465,0.1422,0.1228,0.0405
Top50,0,mse,max_price,0.217,0.2139,0.0735,3,10,20,0.0153,0.1607,0.0894,0.1249,0.0917,0.0828,0.0826,0.0329
Top50,1,ccc,max_price,0.3243,0.228,0.104,6,15,20,0.0148,0.3265,0.1594,0.2034,0.1479,0.1259,0.1233,0.0329
Top50,0,ccc,max_price,0.3378,0.2242,0.1071,5,15,20,0.0145,0.3852,0.1663,0.1962,0.1571,0.1297,0.1236,0.0329
Top50,1,mse,max_price,0.3266,0.2934,0.1077,3,12,20,0.0135,0.2092,0.1628,0.2115,0.1611,0.1369,0.1319,0.0329
