category,broker,loss,goal,corr,daily_corr,stockly_corr,TP,total_positive,total_truth,mse,precision@0.01,precision@0.05,precision@0.1,precision_daily@0.01,precision_daily@0.05,precision_daily@0.1,baseline_precision
Top50,0,ccc,max_price,0.3068,0.2075,0.1221,5,15,21,0.0138,0.3282,0.1742,0.1135,0.1542,0.1531,0.1164,0.0293
Top50,1,ccc,max_price,0.328,0.2191,0.1206,6,13,21,0.0134,0.3304,0.1848,0.1135,0.1509,0.1428,0.1183,0.0293
Top100,0,ccc,max_price,0.2546,0.2283,0.1035,7,39,75,0.018,0.2396,0.1899,0.1447,0.1944,0.1781,0.1303,0.0446
Top100,1,ccc,max_price,0.243,0.2285,0.1036,9,38,75,0.0186,0.224,0.1881,0.1438,0.202,0.1718,0.135,0.0446
SemiconductorTSE,0,ccc,max_price,0.1756,0.1825,0.1158,14,72,103,0.0249,0.2733,0.2035,0.1807,0.202,0.1781,0.1646,0.0753
SemiconductorTSE,1,ccc,max_price,0.1731,0.1804,0.1176,16,91,103,0.0269,0.2578,0.1855,0.1649,0.1976,0.1806,0.1565,0.0753
SelectedVer2,0,ccc,max_price,0.179,0.1741,0.1001,11,83,103,0.019,0.1684,0.1377,0.1155,0.152,0.1364,0.1164,0.045
SelectedVer2,1,ccc,max_price,0.1791,0.1765,0.0915,10,80,103,0.0192,0.1574,0.1372,0.1184,0.1488,0.1323,0.1212,0.045
Selected,0,ccc,max_price,0.2424,0.2141,0.1341,30,125,149,0.0238,0.3051,0.2294,0.1898,0.2649,0.2085,0.1707,0.0629
Selected,1,ccc,max_price,0.2339,0.2094,0.123,28,122,149,0.0239,0.2919,0.2283,0.1854,0.2497,0.205,0.166,0.0629
OptoTSE,0,ccc,max_price,0.0852,0.1348,0.0518,7,57,69,0.0351,0.1685,0.1532,0.1389,0.1911,0.1672,0.139,0.0659
OptoTSE,1,ccc,max_price,0.0693,0.1229,0.0356,7,52,69,0.0361,0.1704,0.136,0.1275,0.1781,0.1585,0.132,0.0659
NetworkTSE,0,ccc,max_price,0.134,0.1709,0.0471,3,22,38,0.0248,0.1912,0.1421,0.1186,0.2063,0.2063,0.1332,0.0563
NetworkTSE,1,ccc,max_price,0.1235,0.1567,0.0438,3,26,38,0.0255,0.1676,0.1427,0.1151,0.2052,0.2052,0.1346,0.0563
FinanceTSE,0,ccc,max_price,0.218,0.2395,0.1467,0,1,2,0.0045,0.0561,0.0237,0.0204,0.0304,0.0304,0.0192,0.0053
FinanceTSE,1,ccc,max_price,0.229,0.2384,0.1633,0,1,2,0.0046,0.0561,0.0244,0.0201,0.0271,0.0271,0.021,0.0053
EETSE,0,ccc,max_price,0.2385,0.2472,0.1157,8,40,43,0.0267,0.2461,0.2229,0.1975,0.2193,0.2063,0.1992,0.0625
EETSE,1,ccc,max_price,0.2346,0.2383,0.102,9,37,43,0.0264,0.2979,0.2306,0.1954,0.2291,0.2041,0.1944,0.0625
ChemicalTSE,1,ccc,max_price,0.2015,0.2272,0.1051,8,20,22,0.0247,0.2594,0.188,0.1508,0.2139,0.2139,0.1482,0.0524
ChemicalTSE,0,ccc,max_price,0.218,0.2518,0.0998,7,13,22,0.0234,0.3347,0.203,0.1662,0.2367,0.2367,0.1634,0.0524
CarTSE,0,ccc,max_price,0.1682,0.172,0.0951,2,13,27,0.0197,0.2319,0.1274,0.0955,0.1238,0.1238,0.1039,0.0525
CarTSE,1,ccc,max_price,0.1582,0.1617,0.086,2,13,27,0.021,0.2029,0.1274,0.0981,0.1325,0.1325,0.1006,0.0525
