date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率
2013-12-09,91.3,83.0,100.0,83.0,7849.0,1116599795.0,27.94
2013-12-10,83.5,87.9,89.8,77.8,3192.0,397164925.0,27.82
2013-12-11,77.0,81.0,81.0,77.0,1853.0,226269519.0,27.79
2013-12-12,78.6,75.0,81.0,74.1,1760.0,215352152.0,27.62
2013-12-13,84.4,80.0,85.0,80.0,2353.0,309002752.0,27.39
2013-12-16,78.5,85.5,85.5,78.5,1562.0,197636467.0,27.38
2013-12-17,76.0,77.5,79.5,76.0,1121.0,117252708.0,27.35
2013-12-18,75.3,76.6,78.3,75.3,782.0,79975900.0,27.39
2013-12-19,71.7,76.5,76.6,71.6,1370.0,133825661.0,27.39
2013-12-20,76.7,71.7,76.7,71.7,1137.0,129675617.0,27.39
2013-12-23,77.2,77.5,79.8,74.0,1429.0,161885240.0,27.39
2013-12-24,75.1,77.2,78.7,74.8,1122.0,122618600.0,27.42
2013-12-25,74.1,75.1,76.1,73.8,738.0,79065767.0,27.45
2013-12-26,74.5,74.5,76.5,74.1,657.0,67898119.0,27.51
2013-12-27,74.0,75.4,75.4,73.3,621.0,90012857.0,27.57
2013-12-30,73.8,74.0,76.0,71.8,1196.0,135365600.0,27.61
2013-12-31,74.3,74.0,74.9,73.0,620.0,72758800.0,27.62
2014-01-02,73.0,74.0,74.2,72.9,494.0,58166149.0,27.62
2014-01-03,72.9,72.5,74.6,72.5,483.0,54243937.0,27.61
2014-01-06,68.4,72.7,72.7,67.8,1064.0,108827849.0,27.61
2014-01-07,66.6,68.4,69.0,65.8,806.0,83532163.0,27.61
2014-01-08,68.2,66.7,69.7,66.7,615.0,55917900.0,27.61
2014-01-09,66.2,67.3,68.0,66.2,352.0,34777100.0,27.61
2014-01-10,64.0,66.0,67.7,63.2,503.0,49969759.0,27.61
2014-01-13,61.0,65.5,65.5,60.0,911.0,103563940.0,27.54
2014-01-14,65.2,60.0,65.2,59.0,1137.0,117969622.0,27.58
2014-01-15,68.0,65.5,69.2,64.0,1188.0,123277883.0,27.6
2014-01-16,66.3,68.9,69.8,66.2,499.0,46739459.0,27.6
2014-01-17,66.5,66.4,68.3,66.4,289.0,26636626.0,27.6
2014-01-20,69.9,67.0,71.0,67.0,746.0,81047665.0,27.61
2014-01-21,68.3,70.9,70.9,68.1,336.0,35305400.0,27.61
2014-01-22,68.0,68.0,69.5,67.3,329.0,34195466.0,27.61
2014-01-23,67.2,68.0,68.3,67.0,240.0,23784479.0,27.61
2014-01-24,67.2,67.2,67.5,66.9,149.0,15581336.0,27.61
2014-01-27,67.2,66.2,67.2,65.0,268.0,24688829.0,27.61
2014-02-05,64.9,65.1,66.9,64.7,245.0,26323500.0,27.61
2014-02-06,65.7,66.0,66.5,65.4,129.0,12872500.0,27.61
2014-02-07,68.3,66.5,69.2,65.7,430.0,36940412.0,27.58
2014-02-10,73.0,68.8,73.0,68.5,660.0,108790175.0,27.46
2014-02-11,72.1,73.6,73.7,71.5,877.0,107114804.0,27.46
2014-02-12,72.2,71.8,73.2,71.8,428.0,64820702.0,27.45
2014-02-13,73.5,72.5,75.6,71.6,833.0,95868339.0,27.42
2014-02-14,71.7,74.5,74.5,71.5,480.0,49676723.0,27.42
2014-02-17,71.5,71.7,72.8,71.5,271.0,32979268.0,27.4
2014-02-18,71.8,72.5,73.2,71.8,254.0,23047744.0,27.39
2014-02-19,72.7,71.8,73.9,71.2,444.0,63685500.0,27.56
2014-02-20,75.0,73.6,77.5,73.2,1010.0,101763231.0,27.56
2014-02-21,73.3,75.0,75.4,73.2,535.0,82610300.0,27.28
2014-02-24,72.7,73.5,73.5,72.5,267.0,26986328.0,27.28
2014-02-25,71.6,72.9,72.9,71.6,340.0,34387000.0,27.24
2014-02-26,71.6,71.6,73.2,71.6,386.0,44792019.0,27.18
2014-02-27,71.0,71.7,72.3,71.0,287.0,37476000.0,27.15
2014-03-03,71.2,71.0,72.5,71.0,219.0,20658839.0,27.16
2014-03-04,71.3,70.5,72.2,70.5,213.0,25505300.0,27.13
2014-03-05,76.2,73.4,76.2,73.1,1787.0,278878521.0,27.08
2014-03-06,81.5,77.0,81.5,76.8,2402.0,358234840.0,27.21
2014-03-07,78.0,83.0,83.4,77.7,2118.0,289753930.0,27.54
2014-03-10,83.0,79.5,83.4,79.3,1820.0,288358486.0,27.51
2014-03-11,86.9,84.9,87.5,83.5,2837.0,422616579.0,27.41
2014-03-12,84.1,86.0,86.0,84.0,1551.0,192416990.0,27.41
2014-03-13,82.7,84.1,85.0,82.3,1333.0,169031425.0,27.39
2014-03-14,80.9,81.7,82.4,80.1,1226.0,153821624.0,27.38
2014-03-17,86.5,82.0,86.5,81.9,2257.0,395963880.0,27.21
2014-03-18,85.3,86.5,86.7,83.5,1833.0,266449024.0,27.38
2014-03-19,87.7,85.3,89.1,85.0,2310.0,334325130.0,27.49
2014-03-20,85.4,86.5,87.2,85.0,1064.0,148540469.0,27.5
2014-03-21,83.0,86.0,86.2,82.4,976.0,136722646.0,27.51
2014-03-24,83.2,77.3,83.6,77.3,806.0,98490855.0,27.56
2014-03-25,82.3,82.5,83.5,82.0,557.0,66336463.0,27.52
2014-03-26,82.9,82.5,84.7,82.5,733.0,94820760.0,27.56
2014-03-27,87.5,84.0,88.2,84.0,2021.0,337472719.0,27.3
2014-03-28,84.1,87.3,87.3,84.0,998.0,138557938.0,27.3
2014-03-31,83.2,84.1,84.5,82.8,544.0,80359336.0,27.3
2014-04-01,83.2,83.1,86.0,83.1,483.0,57232662.0,27.28
2014-04-02,82.3,84.4,84.5,82.3,469.0,62482459.0,27.28
2014-04-03,80.0,82.3,83.0,79.9,952.0,131637553.0,27.26
2014-04-07,79.7,80.0,81.5,79.1,476.0,60162883.0,27.25
2014-04-08,78.0,79.7,80.6,75.6,1093.0,140158558.0,27.12
2014-04-09,76.6,78.0,78.4,76.4,1107.0,108993448.0,27.13
2014-04-10,77.0,77.1,79.7,76.6,1087.0,115991500.0,27.13
2014-04-11,76.2,77.0,78.0,76.2,777.0,74134291.0,27.05
2014-04-14,75.6,76.2,77.3,75.6,296.0,37885500.0,27.05
2014-04-15,75.5,75.8,76.5,75.5,290.0,35450500.0,27.05
2014-04-16,76.8,75.7,77.4,75.6,316.0,36252300.0,27.03
2014-04-17,76.5,77.3,77.4,76.5,288.0,41404100.0,27.03
2014-04-18,77.5,77.0,78.6,77.0,442.0,52379017.0,27.02
2014-04-21,79.3,79.0,79.3,77.8,426.0,49932860.0,27.01
2014-04-22,80.0,81.5,82.6,80.0,1059.0,142723716.0,26.87
2014-04-23,78.3,80.0,81.0,78.0,532.0,69452725.0,26.84
2014-04-24,76.8,78.5,79.0,76.5,505.0,68639350.0,26.8
2014-04-25,71.5,76.0,77.0,71.5,1199.0,173961322.0,26.73
2014-04-28,69.6,67.2,70.2,67.1,442.0,51179799.0,26.7
2014-04-29,72.5,70.6,73.2,70.6,342.0,34902291.0,26.67
2014-04-30,69.8,72.4,72.4,69.6,385.0,42117590.0,26.6
2014-05-02,70.1,69.9,70.3,69.0,328.0,29576471.0,26.48
2014-05-05,71.2,71.8,72.4,71.2,271.0,26871660.0,26.46
2014-05-06,70.6,71.3,71.5,70.0,271.0,28612259.0,26.41
2014-05-07,71.0,70.6,71.0,69.9,140.0,15491357.0,26.42
2014-05-08,70.2,70.1,71.6,70.1,243.0,23593700.0,26.35
2014-05-09,70.2,70.2,71.0,69.1,250.0,22996650.0,26.29
2014-05-12,68.3,69.1,69.7,68.3,226.0,23343277.0,26.27
2014-05-13,68.3,68.3,70.0,68.1,181.0,21399050.0,25.37
2014-05-14,66.0,68.3,68.4,65.0,405.0,40617619.0,25.35
2014-05-15,68.0,66.6,68.9,66.2,301.0,29812200.0,25.36
2014-05-16,67.2,67.5,68.0,67.0,236.0,20103600.0,25.27
2014-05-19,70.0,67.2,70.9,67.2,264.0,26574262.0,25.26
2014-05-20,68.8,70.5,70.5,68.8,231.0,18877873.0,25.2
2014-05-21,68.5,68.5,69.7,68.5,115.0,11570500.0,25.18
2014-05-22,69.3,68.8,71.0,68.6,285.0,27747503.0,25.18
2014-05-23,69.2,69.0,70.0,69.0,257.0,22839645.0,25.1
2014-05-26,74.0,72.0,74.0,70.8,655.0,89840920.0,25.17
2014-05-27,76.2,76.7,77.5,74.2,1086.0,128008944.0,25.17
2014-05-28,75.0,75.9,76.1,75.0,551.0,58022725.0,25.03
2014-05-29,77.2,74.7,78.6,74.6,834.0,100952140.0,25.04
2014-05-30,78.5,78.0,78.5,75.5,760.0,104985668.0,25.1
2014-06-03,76.6,78.4,78.4,76.5,291.0,37056398.0,25.11
2014-06-04,76.0,76.6,77.7,76.0,317.0,48687991.0,25.06
2014-06-05,75.6,76.1,76.1,74.8,288.0,40716375.0,25.05
2014-06-06,74.0,75.6,75.7,74.0,297.0,29978994.0,24.98
2014-06-09,73.0,74.6,74.6,73.0,228.0,23316410.0,24.99
2014-06-10,73.5,73.0,74.8,73.0,142.0,14334700.0,24.98
2014-06-11,73.0,74.1,74.5,73.0,249.0,20236398.0,24.9
2014-06-12,72.5,73.0,73.0,71.5,268.0,25351659.0,24.83
2014-06-13,71.6,72.5,73.5,71.4,219.0,18292300.0,24.76
2014-06-16,72.0,71.6,72.7,71.6,133.0,13044000.0,24.75
2014-06-17,71.0,73.0,73.0,70.6,273.0,27757100.0,24.69
2014-06-18,71.1,72.2,72.9,71.0,274.0,29275952.0,24.63
2014-06-19,71.2,71.2,72.3,71.2,129.0,12846976.0,24.63
2014-06-20,72.4,72.5,73.5,72.2,297.0,30335540.0,24.64
2014-06-23,71.0,72.9,73.0,71.0,227.0,29661960.0,24.64
2014-06-24,70.2,71.6,72.0,69.8,135.0,12206025.0,24.65
2014-06-25,71.5,70.2,71.7,70.2,157.0,17702126.0,24.66
2014-06-26,71.5,71.5,72.4,71.5,219.0,25575300.0,24.66
2014-06-27,70.8,71.5,72.3,70.7,139.0,18123590.0,24.65
2014-06-30,72.3,72.3,74.0,71.8,354.0,45775130.0,24.66
2014-07-01,72.1,72.5,73.7,71.6,163.0,17471000.0,24.66
2014-07-02,70.4,73.4,73.4,70.4,452.0,48984300.0,24.62
2014-07-03,70.8,71.0,71.5,70.4,170.0,16281980.0,24.59
2014-07-04,70.6,70.8,72.4,70.4,276.0,31824500.0,24.58
2014-07-07,70.2,71.6,71.6,69.2,177.0,20344700.0,24.59
2014-07-08,70.0,70.2,70.6,69.5,107.0,10882400.0,24.6
2014-07-09,69.3,70.0,70.1,69.2,137.0,14882180.0,24.59
2014-07-10,70.8,69.3,71.0,69.3,157.0,15695983.0,24.6
2014-07-11,69.5,71.0,71.0,69.5,153.0,17657469.0,24.59
2014-07-14,74.3,72.3,74.3,72.3,938.0,160109570.0,24.45
2014-07-15,71.6,73.5,73.8,71.3,915.0,95668565.0,24.48
2014-07-16,70.8,71.9,72.0,70.6,270.0,26759616.0,24.48
2014-07-17,69.8,70.8,70.8,69.8,281.0,27326400.0,24.47
2014-07-18,70.7,69.2,72.3,69.0,392.0,37899893.0,24.47
2014-07-21,70.2,72.4,72.4,70.2,106.0,9846359.0,24.47
2014-07-22,71.1,71.1,71.9,70.5,161.0,13901390.0,24.47
2014-07-24,71.1,71.1,72.7,70.8,223.0,26520440.0,24.47
2014-07-25,70.8,71.5,72.5,70.8,226.0,22066510.0,24.47
2014-07-28,70.0,70.8,71.6,69.5,203.0,20202840.0,24.47
2014-07-29,69.0,70.5,70.7,68.0,221.0,21229140.0,24.48
2014-07-30,68.1,70.3,70.3,67.8,229.0,25027683.0,24.39
2014-07-31,66.4,68.1,68.1,66.4,416.0,46974251.0,24.24
2014-08-01,65.5,65.2,66.7,65.1,201.0,18121300.0,24.15
2014-08-04,65.5,66.0,66.4,65.3,131.0,18329122.0,24.15
2014-08-05,65.1,65.3,66.0,65.1,96.0,9488600.0,24.14
2014-08-06,63.6,65.5,66.0,62.3,279.0,26118389.0,24.15
2014-08-07,63.3,63.7,64.6,63.0,107.0,9111064.0,24.14
2014-08-08,66.3,65.0,66.9,64.0,303.0,25567862.0,24.16
2014-08-11,65.4,67.3,67.4,65.3,131.0,9789200.0,24.16
2014-08-12,64.0,65.6,66.2,64.0,129.0,13019740.0,24.16
2014-08-13,63.8,64.0,64.7,63.8,119.0,12557600.0,24.16
2014-08-14,63.0,63.8,64.0,63.0,181.0,18748200.0,24.16
2014-08-15,62.2,63.0,63.7,62.2,141.0,16508275.0,24.11
2014-08-18,59.5,62.6,62.6,59.5,294.0,31564000.0,24.1
2014-08-19,60.0,59.6,60.5,59.6,125.0,11402265.0,24.1
2014-08-20,60.3,60.9,60.9,60.1,77.0,8516800.0,24.09
2014-08-21,59.6,60.4,60.4,59.6,94.0,9873500.0,24.08
2014-08-22,60.9,60.4,61.4,60.0,108.0,9384800.0,24.08
2014-08-25,62.1,61.3,62.2,60.7,97.0,7786462.0,24.07
2014-08-26,63.7,62.4,65.0,62.1,224.0,21056479.0,24.06
2014-08-27,65.3,64.0,65.5,64.0,234.0,24360351.0,24.04
2014-08-28,66.5,66.0,68.0,65.6,430.0,45745105.0,24.03
2014-08-29,67.0,66.5,67.4,65.8,196.0,17122026.0,24.02
2014-09-01,67.5,68.0,69.0,67.3,198.0,18671488.0,24.01
2014-09-02,65.9,69.5,69.5,65.9,297.0,26567318.0,24.0
2014-09-03,65.4,66.9,67.4,65.4,219.0,21977100.0,24.0
2014-09-04,64.6,65.5,66.2,64.5,123.0,15139600.0,23.99
2014-09-05,64.8,65.5,66.9,64.8,260.0,24133564.0,23.98
2014-09-09,66.2,65.3,67.3,65.0,237.0,22309392.0,23.95
2014-09-10,65.5,65.0,66.0,65.0,93.0,8346232.0,23.95
2014-09-11,65.6,65.6,65.9,65.1,91.0,6792080.0,23.94
2014-09-12,65.2,65.6,65.7,65.0,106.0,11863900.0,23.93
2014-09-15,64.0,64.5,65.2,63.8,86.0,7966335.0,23.9
2014-09-16,63.1,63.0,63.6,62.7,107.0,8911503.0,23.9
2014-09-17,63.1,64.0,64.1,63.0,79.0,8754900.0,23.9
2014-09-18,63.0,63.6,63.8,63.0,108.0,7847200.0,23.89
2014-09-19,62.4,63.5,63.7,62.2,134.0,10556100.0,23.89
2014-09-22,61.7,62.7,63.0,61.6,132.0,14517260.0,23.89
2014-09-23,62.3,61.7,62.4,61.2,81.0,6822875.0,23.89
2014-09-24,61.7,62.8,62.8,61.6,62.0,5568900.0,23.89
2014-09-25,60.7,61.7,62.5,60.6,116.0,10850666.0,23.89
2014-09-26,60.4,60.2,61.2,60.0,90.0,7515728.0,23.89
2014-09-29,60.5,61.3,61.3,60.5,52.0,4428226.0,23.9
2014-09-30,60.5,61.6,61.6,60.0,92.0,7380950.0,23.9
2014-10-01,60.5,60.5,60.8,60.1,79.0,6493589.0,23.9
2014-10-02,60.4,60.3,60.6,60.2,73.0,8336900.0,23.9
2014-10-03,61.6,60.5,62.4,60.5,198.0,17384960.0,23.9
2014-10-06,62.2,63.3,63.3,62.2,187.0,15121910.0,23.88
2014-10-07,61.0,62.0,62.0,60.7,177.0,15658614.0,23.84
2014-10-08,60.1,60.8,60.8,60.0,167.0,17930017.0,23.78
2014-10-09,59.5,60.1,60.4,59.5,197.0,15942548.0,23.77
2014-10-13,56.2,57.0,57.8,56.1,211.0,16290086.0,23.75
2014-10-14,56.5,59.2,59.2,56.3,77.0,6818384.0,23.72
2014-10-15,53.9,56.8,56.8,53.8,158.0,13468753.0,23.72
2014-10-16,51.7,53.0,53.1,50.2,221.0,17832740.0,23.7
2014-10-17,50.1,52.0,52.5,50.1,215.0,20631211.0,23.7
2014-10-20,50.7,50.5,51.6,50.5,143.0,16309599.0,23.7
2014-10-21,50.1,51.0,51.0,50.1,94.0,11655850.0,23.68
2014-10-22,50.0,50.3,51.2,50.0,105.0,9801792.0,23.69
2014-10-23,47.0,50.0,50.0,46.7,314.0,24409445.0,23.69
2014-10-24,45.05,47.5,47.5,44.5,243.0,17790834.0,23.69
2014-10-27,41.9,45.05,45.05,41.9,333.0,30240298.0,23.7
2014-10-28,42.0,41.9,42.5,41.0,223.0,18070105.0,23.7
2014-10-29,44.9,42.15,44.9,42.15,314.0,70463390.0,23.63
2014-10-30,45.5,45.2,45.8,44.6,182.0,11134674.0,23.65
2014-10-31,45.8,45.9,46.5,45.5,94.0,7074255.0,23.66
2014-11-03,45.4,45.5,46.0,44.9,137.0,7849504.0,23.68
2014-11-04,45.4,46.0,46.0,45.4,124.0,9948050.0,23.7
2014-11-05,47.5,46.3,47.9,46.3,385.0,24241159.0,23.75
2014-11-06,45.8,47.5,47.5,45.8,123.0,6244480.0,23.76
2014-11-07,46.3,46.8,46.8,45.8,95.0,7947715.0,23.78
2014-11-10,45.9,46.5,46.5,45.7,79.0,5191052.0,23.79
2014-11-11,45.4,46.5,46.95,45.4,89.0,4614182.0,23.8
2014-11-12,45.1,45.0,45.5,45.0,76.0,4440725.0,23.8
2014-11-13,45.0,45.9,45.9,45.0,37.0,2402100.0,23.8
2014-11-14,45.15,45.1,45.75,45.1,81.0,4670914.0,23.81
2014-11-17,42.55,45.1,45.1,42.0,258.0,14673269.0,23.84
2014-11-18,41.35,42.55,42.55,40.8,159.0,10541075.0,23.86
2014-11-19,39.85,41.2,41.2,39.4,403.0,25689766.0,23.94
2014-11-20,39.85,39.5,40.8,39.5,225.0,19530660.0,23.94
