date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),RSI,SMA,MACD,CMO,ATR,BBANDS_upper,BBANDS_mid,BBANDS_lower
2024-05-23,183.5,184.0,187.0,183.0,479.0,21059315.0,0.9,-3000.0,0.0,0.0,0.0,47.747747747747745,47.747747747747745,47.747747747747745,47.747747747747745,47.747747747747745,189.3629775444458,185.6,181.83702245555418
2024-05-24,176.0,181.5,184.0,174.5,1190.0,86022951.0,0.88,-18060.0,0.0,-7000.0,0.0,44.50904392764858,44.50904392764858,44.50904392764858,44.50904392764858,44.50904392764858,190.1833139984276,183.0,175.8166860015724
2024-05-27,173.0,176.5,177.0,168.5,958.0,108112548.0,1.07,126000.0,0.0,0.0,0.0,43.24546156817304,43.24546156817304,43.24546156817304,43.24546156817304,43.24546156817304,190.26711710683452,180.4,170.5328828931655
2024-05-28,170.0,172.5,172.5,168.0,853.0,85869951.0,1.17,67000.0,0.0,0.0,0.0,41.96253531684253,41.96253531684253,41.96253531684253,41.96253531684253,41.96253531684253,188.84377560073563,177.4,165.95622439926439
2024-05-29,168.5,170.0,171.0,165.0,789.0,79381288.0,1.14,-15530.0,0.0,-2000.0,0.0,41.30276171579124,41.30276171579124,41.30276171579124,41.30276171579124,41.30276171579124,184.83202708800266,174.2,163.56797291199732
2024-05-30,164.5,168.0,168.0,161.5,706.0,63191175.0,1.13,-9900.0,0.0,0.0,0.0,39.51838786662672,39.51838786662672,39.51838786662672,39.51838786662672,39.51838786662672,178.23326241102558,170.4,162.56673758897443
2024-05-31,162.0,164.5,165.5,161.5,612.0,55875189.0,1.3,113047.0,0.0,0.0,0.0,38.401724706181724,38.401724706181724,38.401724706181724,38.401724706181724,38.401724706181724,175.43326241102648,167.6,159.7667375889735
2024-06-03,161.0,163.0,163.0,156.0,958.0,99243214.0,1.44,92050.0,0.0,0.0,0.0,37.939914011473725,37.939914011473725,37.939914011473725,37.939914011473725,37.939914011473725,172.2597450378899,165.2,158.14025496211008
2024-06-04,156.5,160.5,160.5,155.5,765.0,69744476.0,1.5,43050.0,0.0,0.0,0.0,35.85058561172492,35.85058561172492,35.85058561172492,35.85058561172492,35.85058561172492,170.42464510246376,162.5,154.57535489753624
2024-06-05,159.0,156.5,162.0,156.5,453.0,41216991.0,1.39,-73995.0,0.0,-5124.0,0.0,37.896733352044535,37.896733352044535,37.896733352044535,37.896733352044535,37.896733352044535,166.01848687365901,160.6,155.18151312634097
